Aug 02, 2014	3.282	3.282	3.282	3.282	-0.42%
Aug 01, 2014	3.296	3.296	3.296	3.296	-0.51%
Jul 31, 2014	3.313	3.313	3.313	3.313	0.09%
Jul 30, 2014	3.31	3.31	3.31	3.31	2.73%
Jul 29, 2014	3.222	3.222	3.222	3.222	-1.26%
Jul 28, 2014	3.263	3.263	3.263	3.263	0.66%
Jul 27, 2014	3.242	3.239	3.243	3.239	-0.04%
Jul 25, 2014	3.243	3.243	3.243	3.243	-1.70%
Jul 24, 2014	3.299	3.299	3.299	3.299	1.26%
Jul 23, 2014	3.258	3.258	3.258	3.258	0.18%
Jul 22, 2014	3.252	3.252	3.252	3.252	-0.37%
Jul 21, 2014	3.264	3.264	3.264	3.264	-0.73%
Jul 20, 2014	3.288	3.288	3.288	3.288	-0.12%
Jul 18, 2014	3.292	3.292	3.292	3.292	0.09%
Jul 17, 2014	3.289	3.289	3.289	3.289	-1.76%
Jul 16, 2014	3.348	3.348	3.348	3.348	-0.53%
Jul 15, 2014	3.366	3.366	3.366	3.366	-0.09%
Jul 14, 2014	3.369	3.369	3.369	3.369	0.77%
Jul 13, 2014	3.343	3.342	3.344	3.342	0.20%
Jul 12, 2014	3.337	3.337	3.337	3.337	-0.19%
Jul 11, 2014	3.343	3.343	3.343	3.343	-0.65%
Jul 10, 2014	3.365	3.365	3.365	3.365	0.15%
Jul 09, 2014	3.36	3.36	3.36	3.36	-0.62%
Jul 08, 2014	3.381	3.381	3.381	3.381	-1.69%
Jul 07, 2014	3.439	3.439	3.439	3.439	-1.12%
Jul 06, 2014	3.478	3.47	3.478	3.47	-0.14%
Jul 03, 2014	3.483	3.483	3.483	3.483	0.43%
Jul 02, 2014	3.468	3.468	3.468	3.468	2.12%
Jul 01, 2014	3.396	3.396	3.396	3.396	1.71%
Jun 30, 2014	3.339	3.339	3.339	3.339	-0.77%
Jun 29, 2014	3.365	3.368	3.368	3.363	0.06%
Jun 27, 2014	3.363	3.363	3.363	3.363	0.57%
Jun 26, 2014	3.344	3.344	3.344	3.344	-1.12%
Jun 25, 2014	3.382	3.382	3.382	3.382	-0.73%
Jun 24, 2014	3.407	3.407	3.407	3.407	-1.16%
Jun 23, 2014	3.447	3.447	3.447	3.447	0.22%
